lat,lon,hour_of_day,day_of_week,traffic_congestion,surge_multiplier,distance_km
16.561336706542967,80.6718451538086,17,0,0.7035888776088988,2.313725490196078,1.4985228965327897
16.531963537597655,80.67358465576173,0,6,0.7549081828939391,2.784313725490196,1.8055097193479819
16.557338903808592,80.67497320556642,11,1,0.72944459681488,2.1372549019607843,6.38510751516883
16.513370703125,80.64395971679687,19,2,0.6883565340009021,2.8627450980392157,1.4855005212623669
16.586609075927726,80.68094702148439,13,5,0.7540847989528843,2.7058823529411766,1.1885901383943924
16.53559512939453,80.67114324951172,22,5,0.7767382368947946,2.431372549019608,1.0989440117289557
16.551239202880858,80.6849829711914,22,4,0.6499553062859764,2.4901960784313726,1.3262804506275783
16.59117908325195,80.68472357177734,7,5,0.6683758972497154,1.3529411764705883,5.71498870406324
16.531799505615233,80.65451879882812,23,4,0.5375217174271394,2.4705882352941178,1.3103551339564383
16.537738989257804,80.67295141601562,21,3,0.6237508639265154,3.0,5.1211687965557635
16.557239721679686,80.67134924316406,22,1,0.7311200710784787,2.7254901960784315,3.8061447716224244
16.54283923950195,80.6624686279297,11,6,0.6989546860207524,2.1176470588235294,3.773101268539904
16.5500795349121,80.69101782226562,9,4,0.8497722547282878,2.2549019607843137,1.8594856470298606
16.56134052124024,80.69769354248047,20,2,0.6567239898828147,2.8431372549019605,0.9916862514496464
16.520626257324217,80.66180487060547,0,4,0.5937368956368168,2.196078431372549,6.3828447729949005
16.561992834472655,80.69848699951172,15,0,0.7199426264033951,2.2549019607843137,0.6565789536542627
16.54896182861328,80.66283483886718,17,0,0.8667840360884371,2.313725490196078,3.428090804657552
16.539203833007804,80.65974493408203,8,3,0.6874407846978745,2.4117647058823533,2.5386754042872632
16.5064126953125,80.65001745605468,9,0,0.6852933315866503,2.1176470588235294,4.605207581115351
16.53159732666016,80.67011328125,13,6,0.5326909352691719,2.666666666666667,1.303273058304865
16.5358201965332,80.6736304321289,2,6,0.5359389382312175,2.1372549019607843,2.505929733551426
16.546760748291014,80.6744620361328,12,4,0.7619482687736242,2.568627450980392,1.7245525417733005
16.5522119506836,80.65813513183593,3,5,0.5601940880526892,1.803921568627451,2.0670877861523604
16.540573309326163,80.6604468383789,10,5,0.622758441805206,2.0784313725490193,4.874799246450505
16.57053394165039,80.69876928710937,8,4,0.2538292270449418,2.372549019607843,20.602604119925772
16.56475848999024,80.69741888427734,13,6,0.6801575807595497,2.666666666666667,4.55953137650553
16.54327411499024,80.6702353515625,21,5,0.5176543148925586,2.7254901960784315,6.056118046348986
16.506591986083983,80.69556494140625,23,0,0.5151480337225567,1.8235294117647058,3.7387473844060626
16.50670642700195,80.65978308105468,21,0,0.7452502810594399,2.1764705882352944,2.5248527699442183
16.54975147094727,80.67188330078125,14,2,0.6162371844161662,2.372549019607843,9.939456923621297
16.555069158935545,80.68306036376951,10,1,0.7222353132050743,2.333333333333333,4.564599686329946
16.513439367675772,80.65573187255859,13,5,0.5342792272122547,2.7058823529411766,5.423059665350634
16.499988745117193,80.64849920654298,19,1,0.6037806659567803,2.5882352941176467,4.499290659913007
16.5499803527832,80.66368933105468,14,6,0.5938933760669656,2.4705882352941178,10.238399218933946
16.505989263916014,80.64500494384767,12,5,0.8175683937777423,2.2941176470588234,1.4331016177681797
16.543926428222655,80.65943975830076,7,4,0.7446739855193049,2.2941176470588234,1.4922387068538405
16.563648413085936,80.70248480224609,15,1,0.8150534812814679,2.1764705882352944,1.136393609459425
16.521480749511717,80.66593237304687,23,3,0.6882696466051227,2.4705882352941178,0.9594367543375667
16.55174274291992,80.6758734741211,14,4,0.7492705168811797,2.450980392156863,3.3124150603141915
16.56747836914063,80.67623205566406,16,1,0.8470929529392905,2.2941176470588234,2.5875270297051167
16.53937930908203,80.6654517211914,21,3,0.6600449070708025,3.0,5.477054274970403
16.54453677978516,80.67927618408203,13,3,0.8173620148427593,2.196078431372549,2.2363006627031035
16.552166174316405,80.67890997314453,14,0,0.8681287095444392,2.2745098039215685,1.9722084105909419
16.53318042602539,80.67752905273439,1,5,0.7155599273948231,2.1568627450980395,1.1472416261742133
16.53303165283203,80.67435522460937,7,4,0.6459919232286572,2.2941176470588234,2.1987834990575625
16.49839038696289,80.63767309570314,15,0,0.5024294279035717,2.2549019607843137,8.17121450620579
16.52559299316406,80.66886206054687,16,6,0.66005636099775,1.8823529411764706,1.3144487374753666
16.572372625732413,80.67234106445314,8,4,0.5750291134482233,2.372549019607843,1.77071202729907
16.560314367675772,80.68783636474609,21,2,0.625206601679094,2.8823529411764706,5.0680396195171395
16.559246252441405,80.68853063964845,19,6,0.6427697164421573,2.5098039215686274,3.4770414266296688
16.546261022949217,80.65718145751951,23,1,0.0,2.196078431372549,17.340841922216086
16.56764621582031,80.67674322509767,13,5,0.7405481151936706,2.7058823529411766,4.7479694919558275
16.548031042480467,80.67624731445314,9,0,0.7125286664639968,2.1176470588235294,2.0250758384647334
16.57983798828125,80.68527288818359,14,2,0.7157187561560897,2.372549019607843,1.1529183778114138
16.594410131835936,80.71911688232422,9,6,0.0,1.9803921568627452,9.61785031444174
16.451278875732413,80.86110754394531,11,1,0.9018912081845204,2.1372549019607843,3.8458646391668
16.556209753417967,80.67166204833985,15,5,0.8856142755766814,2.686274509803922,1.5607296621315028
16.512180517578123,80.6591498413086,11,4,0.8426282154578142,2.2549019607843137,4.558536025571981
16.53848666992188,80.65951605224609,15,0,0.6740509615024264,2.2549019607843137,2.51705090839793
16.561058233642576,80.70057745361328,17,5,0.23328289926431922,2.6470588235294117,4.0210052394137925
16.507469366455076,80.70214910888672,2,0,0.4645938564065897,1.196078431372549,3.1291514614459315
16.54542178955078,80.6770484008789,17,3,0.7448326414354356,2.4117647058823533,2.0441740613894552
16.51953525390625,80.65219946289062,12,4,0.7024647584101472,2.568627450980392,1.6926449299333846
16.55495090332031,80.65990515136718,12,1,0.5846938131111954,2.0980392156862746,3.322449495110437
16.52679080810546,80.64767523193359,16,6,0.3693680711512265,1.8823529411764706,1.2192217291076288
16.532711218261717,80.65142889404298,17,5,0.7928106673406944,2.6470588235294117,1.1004055667905344
16.5678369506836,80.70569677734375,11,0,0.7173674498820269,2.2745098039215685,2.4746049943662527
16.554832647705076,80.65258856201172,22,5,0.0,2.431372549019608,13.111154844806885
16.516712377929686,80.65101690673826,20,4,0.7385339931049691,3.0,0.6246132386936848
16.547470281982413,80.67566748046875,16,2,0.7307902302933502,2.215686274509804,2.6023611071642807
16.563289831542967,80.7906195678711,22,1,0.35518693199769236,2.7254901960784315,5.831975970598649
16.511360357666014,80.65674658203125,20,2,0.8090701928885057,2.8431372549019605,1.3513587458891319
16.566028784179686,80.6956030883789,21,5,0.48157938794619737,2.7254901960784315,0.32833305430074167
16.54295368041992,80.66279669189453,18,5,0.8358782656780972,2.4901960784313726,1.0740855723955645
16.52412052001953,80.66167517089843,17,3,0.5567064650954876,2.4117647058823533,11.205475465641841
16.562301824951163,80.66516180419922,23,6,0.6074228095355052,1.8235294117647058,2.822193802561424
16.600006292724608,80.6892783203125,13,0,0.7029324327120524,2.1372549019607843,5.373622217164208
16.583030889892576,80.71085424804687,17,4,0.8107613142293502,2.666666666666667,4.913897873844541
16.49700565185546,80.64283056640625,0,2,0.4360483664578385,1.7647058823529411,4.223371122304632
16.55225009765625,80.67368383789062,21,1,0.5095083186615318,2.4705882352941178,6.485390008808635
16.564666937255858,80.70350714111328,12,5,0.6157086148684762,2.2941176470588234,5.085455996573832
16.56187457885742,80.66687841796875,14,3,0.8438539864761132,2.0980392156862746,1.3619402290694576
16.550014685058592,80.66761083984375,19,3,0.7820431265986479,2.8627450980392157,1.2593063796522563
16.552227209472655,80.69139166259767,18,6,0.6216142646366453,2.450980392156863,0.9165343367690149
16.550281713867193,80.66358251953125,7,0,0.6795946260339277,2.0588235294117645,0.7903332557829783
16.5276185974121,80.66036291503907,21,5,0.6449506557504673,2.7254901960784315,4.7497712275159705
16.438045690917967,80.87152166748047,23,2,0.05184278739594572,1.9607843137254903,18.773512809560277
16.506233404541014,80.64004583740235,20,4,0.8849846898822787,3.0,1.5003108230911646
16.547596166992186,80.68517370605468,11,3,0.7573509719762962,2.0980392156862746,0.9058897046218275
16.52037067260742,80.65071173095701,14,4,0.6952192885387053,2.450980392156863,1.5916326042978726
16.532970617675772,80.66294165039062,16,4,0.6397188720647754,2.1764705882352944,1.3850807807287522
16.582081030273436,80.68711920166015,15,6,0.6819966474171684,2.0392156862745097,1.480482274802294
16.569366644287108,80.69232244873047,19,2,0.49001533458185553,2.8627450980392157,9.984366449630784
16.563228796386717,80.78968115234375,11,3,0.6046434884029415,2.0980392156862746,10.283662151652377
16.53768176879882,80.6617667236328,13,5,0.6809336872841272,2.7058823529411766,1.4393435884738264
16.543701361083983,80.67701788330076,19,2,0.6650860847730329,2.8627450980392157,2.217874371947471
16.548629949951163,80.6805350341797,23,3,0.7065404883961933,2.4705882352941178,1.418387639418399
16.552173803710936,80.67213507080076,13,3,0.7574311102019232,2.196078431372549,2.98629255440299
16.43695850219727,80.86415930175782,16,2,0.48984259807784303,2.215686274509804,16.007605589201905
16.543396185302733,80.66202612304687,10,4,0.8471548440513881,2.215686274509804,1.3059769436053614
16.539852331542967,80.6489722290039,11,2,0.8628467036174092,2.1764705882352944,2.7826879910512297
16.550132940673834,80.67258520507812,21,2,0.860209823548161,2.8823529411764706,0.9210619403993389
16.43710727539063,80.8642813720703,20,4,0.1344275533027659,3.0,19.860078915886536
16.550552557373045,80.67998571777343,21,1,0.5843302845357706,2.4705882352941178,3.0159147133126867
16.434860418701163,80.8658682861328,20,0,0.0641667381454889,2.431372549019608,19.5901096148211
16.561008642578123,80.69796057128907,8,2,0.7856094640888089,2.549019607843137,2.3559137779574213
16.54909915771485,80.68083258056642,15,5,0.47264926080281455,2.686274509803922,2.455110663595786
16.55402774658203,80.67819281005859,11,4,0.8884951725891275,2.2549019607843137,1.1918627107695492
16.556240270996092,80.68811865234375,10,1,0.6356727557658446,2.333333333333333,0.9836835594322196
16.54988880004882,80.66472692871093,8,6,0.7047618766322081,1.5098039215686274,1.2235980001798485
16.567081640625,80.70824499511718,17,3,0.754841774846197,2.4117647058823533,1.0460084273228931
16.563171575927726,80.79032202148439,17,6,0.5396413454997309,2.5098039215686274,14.081859731547121
16.540752600097655,80.64575262451172,20,5,0.7693465749216029,2.215686274509804,4.000555517193089
16.499473760986326,80.64720220947265,23,1,0.10031568308488237,2.196078431372549,5.048228667134827
16.550750921630858,80.6767279663086,15,5,0.6682622932340714,2.686274509803922,3.317377067659286
16.567138861083983,80.78318090820314,0,0,0.0,1.7058823529411766,27.162688158008105
16.53889102783203,80.65490789794922,6,0,0.6246138248273111,1.6470588235294117,2.5484550336723655
16.53611011352539,80.66964025878907,14,0,0.9018786131371173,2.2745098039215685,1.0597109781191343
16.56457919921875,80.69232244873047,14,3,0.7508095872497793,2.0980392156862746,1.67234454779037
16.529197882080076,80.66014166259767,15,1,0.7527579871390787,2.1764705882352944,1.6317972848820808
16.573486517333983,80.70387335205076,20,2,0.6533151500970045,2.8431372549019605,2.2110789316035495
16.559868048095694,80.70242376708985,11,0,0.7025411054809755,2.2745098039215685,0.981614351912781
16.5429346069336,80.65470190429687,23,3,0.24992800774758572,2.4705882352941178,0.8417474579721538
16.568695257568358,80.70027990722656,22,4,0.4557826307563666,2.4901960784313726,6.29478090425136
